service,subject,description,urgency
login,Still broken: Login keeps failing,why am I locked out?,low
payments,Charged twice for one order,"Maybe I'm missing something, but this doesn't make sense. Apple Pay closes after Face ID and returns me to the payment page. I reproduced it twice this morning. It's not blocking me right now, but I wanted to report it.",low
login,Unable to access my account,I don't understand what is happening. I requested the two-factor code several times and nothing has arrived. This happens in Safari on my iPhone.,high
search,Sorting changes my filters,results are weird,high
login,2FA code never arrives,"I'm a bit confused by what the site is showing me. I requested the two-factor code several times and nothing has arrived. I tried both Wi-Fi and mobile data. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
order tracking,Tracking link is broken,"Could someone please take a look? Your site says the package was delivered, but nothing was delivered to my address. I reproduced it twice this morning. It's not blocking me right now, but I wanted to report it. Thanks.",low
payments,Card charged but order not created,"Hi, I noticed an issue. The refund is marked completed in my account, but the money is not back on my card. This is blocking my purchase and I need help as soon as possible.",high
notification,Shipping email has wrong info,Push notifications used to work and stopped without me changing any settings.,medium
checkout,Promo code breaks checkout,"Hello, I hope you can help. My shipping address is valid but the form keeps saying it cannot be verified. This happens in Safari on my iPhone. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can work around it for now. Reference: order/account details can be provided if needed. Thanks.",low
order tracking,Package stuck in transit,I'm not sure if I'm doing something wrong. The package has been marked 'in transit' in the same location for days. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
order tracking,Tracking link is broken,I've tried this several times and it's getting frustrating. The tracking page has shown the same status for several days. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible.,high
payments,Wrong amount charged,"Seriously, what is going on? Apple Pay closes after Face ID and returns me to the payment page. This happens in Safari on my iPhone. This is preventing me from using the service. Can someone sort this out?",high
order tracking,Package stuck in transit,This keeps happening and I'm running out of things to try. The tracking page has shown the same status for several days.,medium
order tracking,Order says delivered but isn't here,"Hello, I wanted to report a problem. The tracking number is not recognized by the carrier. Could someone look into this today if possible?",medium
checkout,Checkout button does nothing,checkout not working pls fix,critical
checkout,Can't place my order,This keeps happening and I'm running out of things to try. My shipping address is valid but the form keeps saying it cannot be verified.,medium
order tracking,Again: Delivery date keeps changing,"I've already wasted too much time on this. The package has been marked 'in transit' in the same location for days. I have not changed any account settings recently. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is preventing me from using the service. This has happened more than once.",high
search,Search page keeps reloading,Could someone please take a look? The results page reloads whenever I scroll down. I reproduced it twice this morning. Could someone look into this today if possible? Thanks.,medium
payments,Payment page error,payment failed again,medium
checkout,Checkout problem,This keeps happening and I'm running out of things to try. checkout not working pls fix,medium
checkout,Delivery option missing at checkout,"The cart becomes empty as soon as I reach the payment step. I tried both Wi-Fi and mobile data. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue.",high
order tracking,No tracking information available,"Hi, I noticed an issue. The package has been marked 'in transit' in the same location for days. This happens in Safari on my iPhone. I can wait a little, but I do need this resolved.",medium
search,Search results are irrelevant,"Hello, I hope you can help. Searching for an exact product name returns unrelated items. This started after the latest app update. I need this fixed today because I cannot continue. Thanks.",high
payments,Charged twice for one order,"Could someone please take a look? The refund is marked completed in my account, but the money is not back on my card. Thanks.",high
login,Login issue on mobile,I've tried this several times and it's getting frustrating. Login works in the browser but not in the mobile app. I have not changed any account settings recently.,critical
order tracking,Order status doesn't match carrier,"I'm a bit confused by what the site is showing me. The tracking page has shown the same status for several days. It's not blocking me right now, but I wanted to report it.",low
login,Account locked after login attempt,"Maybe I'm missing something, but this doesn't make sense. I enter the correct email and password but the page sends me back to the sign-in screen. This started after the latest app update. I need someone to investigate this immediately.",critical
order tracking,Order says delivered but isn't here,"Your site says the package was delivered, but nothing was delivered to my address.",medium
payments,Refund not received,"This keeps happening and I'm running out of things to try. The refund is marked completed in my account, but the money is not back on my card. I'm using Chrome on Windows 11.",high
payments,Card charged but order not created,I can see two identical charges for the same purchase. Please treat this as urgent; I am completely blocked.,critical
order tracking,Still broken: Order status doesn't match carrier,"I'm getting very annoyed with this. Your order page and the carrier page show different delivery statuses. I tried both Wi-Fi and mobile data. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is preventing me from using the service. Reference: order/account details can be provided if needed. I need an actual answer, not a generic response.",high
search,Can't find an item I bought before,"Searching for an exact product name returns unrelated items. I'm using Chrome on Windows 11. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
search,Search returns no results,Changing the sort order clears the filters I already selected.,low
checkout,Delivery option missing at checkout,can't buy anything,high
checkout,Promo code breaks checkout,I've tried this several times and it's getting frustrating. The cart becomes empty as soon as I reach the payment step.,high
checkout,Checkout problem,stuck trying to order,medium
payments,Card problem,payment failed again,critical
notification,Getting duplicate notifications,not getting messages,medium
order tracking,Order status doesn't match carrier,I've already wasted too much time on this. The package has been marked 'in transit' in the same location for days. Please fix this.,medium
order tracking,Wrong tracking number,"hi, i noticed an issue. the tracking link in the email opens a 404 page.",high
order tracking,No tracking information available,The tracking link in the email opens a 404 page. I reproduced it twice this morning. Could someone look into this today if possible?,medium
order tracking,Wrong tracking number,"The tracking link in the email opens a 404 page. The problem happens on both desktop and mobile. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is urgent because money/order access is affected and I need immediate assistance. Reference: order/account details can be provided if needed.",critical
order tracking,Still broken: Tracking link is broken,"I've already wasted too much time on this. Your order page and the carrier page show different delivery statuses. This happens in Safari on my iPhone. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed. I need an actual answer, not a generic response.",medium
search,Search results are irrelevant,"I've already retried a few times with no luck. Changing the sort order clears the filters I already selected. I'm using Chrome on Windows 11. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
notification,Order confirmation email missing,emails not working,critical
checkout,Checkout button does nothing,"Hello, I wanted to report a problem. I can add products to the cart, but the checkout button does not move to the next step. I have not changed any account settings recently. It's not blocking me right now, but I wanted to report it.",low
payments,Wrong amount charged,"The refund is marked completed in my account, but the money is not back on my card. This started after the latest app update. This is blocking my purchase and I need help as soon as possible.",high
payments,Payment pending for too long,"The card was charged, but I never received an order number or confirmation. I reproduced it twice this morning. Could someone look into this today if possible?",medium
search,Search results are irrelevant,"Hi, could you please help me with this? A product I can open from my order history does not appear in search. This started after the latest app update. Thanks.",high
search,Sorting changes my filters,This should not be this difficult. results are weird Can someone sort this out?,high
payments,Apple Pay failed,"Apple Pay closes after Face ID and returns me to the payment page. I tried both Wi-Fi and mobile data. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
notification,Order confirmation email missing,"Hi, I noticed an issue. The email says my order was cancelled, but the order page says it has shipped. The problem happens on both desktop and mobile. It's not blocking me right now, but I wanted to report it.",low
payments,Apple Pay failed,"I've tried this several times and it's getting frustrating. The refund is marked completed in my account, but the money is not back on my card. It worked normally yesterday. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
notification,Getting duplicate notifications,"I disabled marketing emails, but I am still receiving them. I have not changed any account settings recently. This is blocking my purchase and I need help as soon as possible.",high
notification,Too many notifications,"This keeps happening and I'm running out of things to try. Push notifications used to work and stopped without me changing any settings. The problem happens on both desktop and mobile. I can wait a little, but I do need this resolved.",medium
order tracking,No tracking information available,I've already retried a few times with no luck. The tracking page has shown the same status for several days. This happens in Safari on my iPhone. Could someone look into this today if possible?,medium
order tracking,Tracking hasn't updated,I don't understand what is happening. The package has been marked 'in transit' in the same location for days. I'm using Chrome on Windows 11.,high
checkout,Checkout button does nothing,"Hi team, I'm having an issue and would appreciate some help. The cart becomes empty as soon as I reach the payment step. I already cleared cookies and tried again. It's inconvenient and I haven't been able to finish what I was trying to do. Thanks.",medium
order tracking,Where is my order?,where is my order?,high
payments,Payment pending for too long,"I've tried this several times and it's getting frustrating. The payment has been showing as pending since yesterday. It worked normally yesterday. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible?",medium
order tracking,Order says delivered but isn't here,"I've tried this several times and it's getting frustrating. The tracking link in the email opens a 404 page. I already cleared cookies and tried again. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. I can work around it for now.",low
payments,Payment issue,card issue,medium
checkout,Checkout problem,stuck trying to order,medium
checkout,Delivery option missing at checkout,"Hi, I noticed an issue. Applying a discount code makes the checkout page reload and lose my details. I'm using Chrome on Windows 11.",medium
payments,Payment page error,"My bank shows the payment as approved, but your site says it was declined.",high
search,Search page keeps reloading,"Maybe I'm missing something, but this doesn't make sense. The category filter is selected, but products from other categories are still shown. This is preventing me from using the service.",high
checkout,Cart resets at checkout,I'm not sure if I'm doing something wrong. There is no delivery method available even though you normally ship to my postcode. This happens in Safari on my iPhone. Could someone look into this today if possible?,medium
checkout,Delivery option missing at checkout,"This keeps happening and I'm running out of things to try. The cart becomes empty as soon as I reach the payment step. I'm using Chrome on Windows 11. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. Could someone look into this today if possible?",medium
search,Search returns no results,This should not be this difficult. Changing the sort order clears the filters I already selected. I tried both Wi-Fi and mobile data. Could someone look into this today if possible? Please fix this.,medium
search,Product missing from search,"This keeps happening and I'm running out of things to try. Searching for an exact product name returns unrelated items. I'm using Chrome on Windows 11. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. Could someone look into this today if possible?",medium
checkout,Address rejected during checkout,"This keeps happening and I'm running out of things to try. There is no delivery method available even though you normally ship to my postcode. This started after the latest app update. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can wait a little, but I do need this resolved.",medium
search,Sorting changes my filters,"I'm getting very annoyed with this. A product I can open from my order history does not appear in search. It worked normally yesterday. I can wait a little, but I do need this resolved. Can someone sort this out?",medium
order tracking,Package stuck in transit,"Just reporting something I ran into. The package has been marked 'in transit' in the same location for days. I have not changed any account settings recently. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Could someone look into this today if possible?",medium
search,Filters not working,"I'm not sure if I'm doing something wrong. The category filter is selected, but products from other categories are still shown. The problem happens on both desktop and mobile. I can wait a little, but I do need this resolved.",medium
notification,SMS alerts not arriving,"The order appears in my account, but I never received the confirmation email. It worked normally yesterday. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
checkout,Checkout button does nothing,"This keeps happening and I'm running out of things to try. My shipping address is valid but the form keeps saying it cannot be verified. It worked normally yesterday. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. No rush, but please check when possible. Reference: order/account details can be provided if needed.",low
payments,Wrong amount charged,"This should not be this difficult. My bank shows the payment as approved, but your site says it was declined. It worked normally yesterday. I need someone to investigate this immediately. I need an actual answer, not a generic response.",critical
order tracking,Tracking hasn't updated,This keeps happening and I'm running out of things to try. The tracking number is not recognized by the carrier.,high
login,Signed out every time I refresh,I don't understand what is happening. I requested the two-factor code several times and nothing has arrived. I'm using Chrome on Windows 11. I need someone to investigate this immediately.,critical
login,Login issue on mobile,I'm a bit confused by what the site is showing me. Login works in the browser but not in the mobile app. Could someone look into this today if possible?,medium
payments,Wrong amount charged,"Hi team, I'm having an issue and would appreciate some help. The card was charged, but I never received an order number or confirmation. This started after the latest app update. I can wait a little, but I do need this resolved. Thanks.",medium
order tracking,Tracking hasn't updated,tracking is wrong,high
login,Account locked after login attempt,"I've already retried a few times with no luck. The account says it is locked even though I only tried to sign in once today. It worked normally yesterday. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible.",low
order tracking,Order status doesn't match carrier,"Your order page and the carrier page show different delivery statuses. I already cleared cookies and tried again. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
checkout,Stuck on checkout page,This keeps happening and I'm running out of things to try. Applying a discount code makes the checkout page reload and lose my details.,medium
search,Search results are irrelevant,Searching for an exact product name returns unrelated items. I also tried from another browser. This is preventing me from using the service.,high
payments,Still broken: Payment pending for too long,"I'm getting very annoyed with this. I can see two identical charges for the same purchase. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need someone to investigate this immediately. Reference: order/account details can be provided if needed. This has happened more than once.",critical
notification,Getting duplicate notifications,"Just reporting something I ran into. The email says my order was cancelled, but the order page says it has shipped. I reproduced it twice this morning. Could someone look into this today if possible?",medium
search,Search is very slow,"This is really frustrating. Search takes around 20 seconds before showing results. The problem happens on both desktop and mobile. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed. Can someone sort this out?",high
payments,Payment declined but card is valid,"Hello, I wanted to report a problem. The card was charged, but I never received an order number or confirmation. I tried both Wi-Fi and mobile data. I can work around it for now.",low
login,Password reset not working,"Maybe I'm missing something, but this doesn't make sense. The account says it is locked even though I only tried to sign in once today. I'm using Chrome on Windows 11. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,Tracking link is broken,"Your site says the package was delivered, but nothing was delivered to my address. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
payments,Payment pending for too long,"Hi, could you please help me with this? The payment has been showing as pending since yesterday. I already cleared cookies and tried again. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Please treat this as urgent; I am completely blocked. Reference: order/account details can be provided if needed. Thanks.",critical
order tracking,No tracking information available,Just reporting something I ran into. The package has been marked 'in transit' in the same location for days. It worked normally yesterday. Could someone look into this today if possible?,medium
search,Can't find an item I bought before,"Seriously, what is going on? The results page reloads whenever I scroll down. This started after the latest app update. This has happened more than once.",low
search,Search returns no results,"This should not be this difficult. The category filter is selected, but products from other categories are still shown. No rush, but please check when possible. This has happened more than once.",low
checkout,Delivery option missing at checkout,The cart becomes empty as soon as I reach the payment step. This happens in Safari on my iPhone. I can work around it for now.,low
login,2FA code never arrives,"This is really frustrating. The password reset link opens, but after setting a new password I still cannot log in. I also tried from another browser. Can someone sort this out?",high
notification,SMS alerts not arriving,"Hi, I noticed an issue. SMS notifications stopped arriving even though my phone number is correct. I also tried from another browser. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
payments,Wrong amount charged,"I can see two identical charges for the same purchase. I tried both Wi-Fi and mobile data. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I need this fixed today because I cannot continue.",high
login,Login issue on mobile,"Login works in the browser but not in the mobile app. I tried both Wi-Fi and mobile data. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed.",low
payments,Card charged but order not created,"Apple Pay closes after Face ID and returns me to the payment page. This started after the latest app update. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's not blocking me right now, but I wanted to report it.",low
order tracking,Wrong tracking number,"I don't understand what is happening. The tracking number is not recognized by the carrier. I already cleared cookies and tried again. I can wait a little, but I do need this resolved.",medium
login,Unable to access my account,"I don't understand what is happening. I requested the two-factor code several times and nothing has arrived. The problem happens on both desktop and mobile. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
login,Password reset not working,"Hello, I wanted to report a problem. I enter the correct email and password but the page sends me back to the sign-in screen. I'm using Chrome on Windows 11.",medium
notification,Order confirmation email missing,I'm getting very annoyed with this. SMS notifications stopped arriving even though my phone number is correct. I have not changed any account settings recently. This has happened more than once.,high
payments,Charged twice for one order,"Hello, I hope you can help. The payment has been showing as pending since yesterday. I already cleared cookies and tried again. I can wait a little, but I do need this resolved. Thanks.",medium
order tracking,Tracking link is broken,This keeps happening and I'm running out of things to try. The tracking page has shown the same status for several days. It worked normally yesterday. Please treat this as urgent; I am completely blocked.,critical
checkout,Address rejected during checkout,"Hello, I hope you can help. I can add products to the cart, but the checkout button does not move to the next step. I reproduced it twice this morning. This is blocking my purchase and I need help as soon as possible. Thanks.",high
payments,Refund not received,The payment has been showing as pending since yesterday. The problem happens on both desktop and mobile. I can work around it for now.,low
order tracking,Delivery date keeps changing,I've tried this several times and it's getting frustrating. where is my order?,medium
checkout,Promo code breaks checkout,"I'm a bit confused by what the site is showing me. Applying a discount code makes the checkout page reload and lose my details. This started after the latest app update. I can wait a little, but I do need this resolved.",medium
search,Can't find an item I bought before,I'm not sure if I'm doing something wrong. The results page reloads whenever I scroll down. It worked normally yesterday. This is preventing me from using the service.,high
login,Signed out every time I refresh,I requested the two-factor code several times and nothing has arrived. I also tried from another browser. Could someone look into this today if possible?,medium
checkout,Cart resets at checkout,I've tried this several times and it's getting frustrating. The page spins forever after I click Place order. I tried both Wi-Fi and mobile data. It's inconvenient and I haven't been able to finish what I was trying to do.,medium
order tracking,Tracking link is broken,"I'm seeing a consistent problem with this. Your site says the package was delivered, but nothing was delivered to my address. This started after the latest app update. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,Delivery date keeps changing,"Hi, I noticed an issue. The tracking number is not recognized by the carrier. This happens in Safari on my iPhone.",high
notification,SMS alerts not arriving,"Hello, I hope you can help. I disabled marketing emails, but I am still receiving them. Thanks.",medium
login,2FA code never arrives,I'm seeing a consistent problem with this. I get an 'unexpected error' immediately after pressing Sign in. I tried both Wi-Fi and mobile data.,low
search,Search returns no results,"I'm seeing a consistent problem with this. The category filter is selected, but products from other categories are still shown. It worked normally yesterday. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
search,Product missing from search,"I'm a bit confused by what the site is showing me. Search takes around 20 seconds before showing results. I reproduced it twice this morning. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
notification,Getting duplicate notifications,too many alerts,high
order tracking,URGENT: Order says delivered but isn't here,"This is really frustrating. no update on delivery I need an actual answer, not a generic response.",medium
checkout,Delivery option missing at checkout,My shipping address is valid but the form keeps saying it cannot be verified.,medium
notification,Too many notifications,"I disabled marketing emails, but I am still receiving them. I'm using Chrome on Windows 11. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
order tracking,No tracking information available,This should not be this difficult. The tracking link in the email opens a 404 page. I have not changed any account settings recently. Could someone look into this today if possible? Please fix this.,medium
search,Search returns no results,"A product I can open from my order history does not appear in search. I tried both Wi-Fi and mobile data. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. Could someone look into this today if possible?",medium
login,Login keeps failing,"Hi team, I'm having an issue and would appreciate some help. The password reset link opens, but after setting a new password I still cannot log in. Thanks.",high
notification,Shipping email has wrong info,I've already retried a few times with no luck. I receive the same shipping notification three or four times. This is blocking my purchase and I need help as soon as possible.,high
notification,Can't turn off marketing emails,"Hello, I hope you can help. SMS notifications stopped arriving even though my phone number is correct. Thanks.",medium
payments,Payment page error,"Hi, I noticed an issue. The refund is marked completed in my account, but the money is not back on my card. The problem happens on both desktop and mobile.",high
payments,Charged twice for one order,I can see two identical charges for the same purchase. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible.,high
order tracking,Tracking hasn't updated,I'm a bit confused by what the site is showing me. Your order page and the carrier page show different delivery statuses. This happens in Safari on my iPhone.,critical
payments,Payment page error,"I've tried this several times and it's getting frustrating. The card was charged, but I never received an order number or confirmation. This happens in Safari on my iPhone. This is preventing me from using the service.",high
payments,Payment pending for too long,"I've already wasted too much time on this. My bank shows the payment as approved, but your site says it was declined. Please fix this.",medium
payments,Payment declined but card is valid,"Just reporting something I ran into. The card was charged, but I never received an order number or confirmation. I reproduced it twice this morning.",medium
payments,Card charged but order not created,Could someone please take a look? The payement has been showing as pending since yesterday. Could someone look into this today if possible? Thanks.,medium
order tracking,Tracking link is broken,I'm getting very annoyed with this. Your order page and the carrier page show different delivery statuses. This happens in Safari on my iPhone. Can someone sort this out?,medium
order tracking,No tracking information available,I've already retried a few times with no luck. The tracking page has shown the same status for several days. I have not changed any account settings recently.,low
search,Can't find product,This keeps happening and I'm running out of things to try. search is bad,low
order tracking,Wrong tracking number,I've tried this several times and it's getting frustrating. The tracking link in the email opens a 404 page. I reproduced it twice this morning. Could someone look into this today if possible?,medium
payments,Refund not received,"Just reporting something I ran into. The card was charged, but I never received an order number or confirmation. I can wait a little, but I do need this resolved.",medium
checkout,Cart resets at checkout,"I've already retried a few times with no luck. There is no delivery method available even though you normally ship to my postcode. I also tried from another browser. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
search,URGENT: Sorting changes my filters,This should not be this difficult. A product I can open from my order history does not appear in search. I'm using Chrome on Windows 11. I can work around it for now. Please fix this.,low
login,2FA code never arrives,"I've already retried a few times with no luck. The account says it is locked even though I only tried to sign in once today. I also tried from another browser. I can wait a little, but I do need this resolved.",medium
login,2FA code never arrives,"Login works in the browser but not in the mobile app. This started after the latest app update. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed.",low
search,Search is very slow,"Hi, I noticed an issue. The results page reloads whenever I scroll down. This happens in Safari on my iPhone. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. No rush, but please check when possible.",low
login,Login issue on mobile,"I'm getting very annoyed with this. The account says it is locked even though I only tried to sign in once today. I'm using Chrome on Windows 11. This is blocking my purchase and I need help as soon as possible. I need an actual answer, not a generic response.",high
payments,Card problem,I've tried this several times and it's getting frustrating. card issue,high
login,Password reset not working,"Seriously, what is going on? I requested the two-factor code several times and nothing has arrived. I'm using Chrome on Windows 11. This is blocking my purchase and I need help as soon as possible. This has happened more than once.",high
login,Password reset not working,"i'm a bit confused by what the site is showing me. the password reset link opens, but after setting a new password i still cannot log in. it's inconvenient and i haven't been able to finish what i was trying to do.",medium
notification,Too many notifications,"Push notifications used to work and stopped without me changing any settings. This happens in Safari on my iPhone. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I can work around it for now. Reference: order/account details can be provided if needed.",low
notification,Wrong notification sent,"Hi, I noticed an issue. The order appears in my account, but I never received the confirmation email. I already cleared cookies and tried again. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. This is urgent because money/order access is affected and I need immediate assistance.",critical
login,Login issue on mobile,"I don't understand what is happening. The password reset link opens, but after setting a new password I still cannot log in. It worked normally yesterday. Could someone look into this today if possible?",medium
login,Account locked after login attempt,"I enter the correct email and password but the page sends me back to the sign-in screen. I'm using Chrome on Windows 11. I can wait a little, but I do need this resolved.",medium
login,Login keeps failing,"Hi, I noticed an issue. The password reset link opens, but after setting a new password I still cannot log in. The problem happens on both desktop and mobile. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
search,Search returns no results,"Hi, could you please help me with this? The results page reloads whenever I scroll down. This started after the latest app update. Thanks.",medium
order tracking,Wrong tracking number,"I don't understand what is happening. The tracking page has shown the same status for several days. I already cleared cookies and tried again. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed.",low
checkout,Order issue,checkout not working pls fix,medium
payments,Still broken: Refund not received,"I've already wasted too much time on this. My bank shows the payment as approved, but your site says it was declined. It worked normally yesterday. This is blocking my purchase and I need help as soon as possible. Please fix this.",high
notification,Getting duplicate notifications,"I'm not sure if I'm doing something wrong. SMS notifications stopped arriving even though my phone number is correct. The problem happens on both desktop and mobile. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I can work around it for now.",low
login,Login issue on mobile,I've already retried a few times with no luck. Login works in the browser but not in the mobile app. This happens in Safari on my iPhone. I need this fixed today because I cannot continue.,high
order tracking,Tracking link is broken,Just reporting something I ran into. Your order page and the carrier page show different delivery statuses. I also tried from another browser. This is blocking my purchase and I need help as soon as possible.,high
payments,Payment declined but card is valid,"This keeps happening and I'm running out of things to try. The payment has been showing as pending since yesterday. It's not blocking me right now, but I wanted to report it.",low
checkout,Stuck on checkout page,"Hi, could you please help me with this? Applying a discount code makes the checkout page reload and lose my details. The problem happens on both desktop and mobile. It's not blocking me right now, but I wanted to report it. Thanks.",low
payments,Payment declined but card is valid,"This keeps happening and I'm running out of things to try. The payment has been showing as pending since yesterday. I have not changed any account settings recently. No rush, but please check when possible.",low
notification,SMS alerts not arriving,SMS notifications stopped arriving even though my phone number is correct. I also tried from another browser. This is preventing me from using the service.,high
order tracking,Tracking hasn't updated,I'm seeing a consistent problem with this. The tracking number is not recognized by the carrier.,medium
search,Sorting changes my filters,A product I can open from my order history does not appear in search. I already cleared cookies and tried again. Please treat this as urgent; I am completely blocked.,critical
order tracking,Tracking hasn't updated,"Your site says the package was delivered, but nothing was delivered to my address. I also tried from another browser.",high
search,Filters not working,"The category filter is selected, but products from other categories are still shown. The problem happens on both desktop and mobile. Could someone look into this today if possible?",medium
checkout,Checkout won't complete,"This keeps happening and I'm running out of things to try. There is no delivery method available even though you normally ship to my postcode. This happens in Safari on my iPhone. It's not blocking me right now, but I wanted to report it.",low
search,Search issue,search doesn't work,critical
order tracking,Order status doesn't match carrier,"Hello, I wanted to report a problem. The tracking page has shown the same status for several days.",medium
search,Filters not working,"Hi, I noticed an issue. Searching for an exact product name returns unrelated items. I also tried from another browser. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
checkout,Cart resets at checkout,I'm seeing a consistent problem with this. Applying a discount code makes the checkout page reload and lose my details. The problem happens on both desktop and mobile. I need someone to investigate this immediately.,critical
order tracking,Again: Wrong tracking number,This should not be this difficult. Your order page and the carrier page show different delivery statuses. I already cleared cookies and tried again. This has happened more than once.,medium
search,Search is very slow,"The category filter is selected, but products from other categories are still shown. I'm using Chrome on Windows 11. Could someone look into this today if possible?",medium
checkout,Promo code breaks checkout,"Hi, I noticed an issue. My shipping address is valid but the form keeps saying it cannot be verified.",medium
checkout,Checkout won't complete,"My shipping address is valid but the form keeps saying it cannot be verified. It worked normally yesterday. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
order tracking,Tracking hasn't updated,"Hi, I noticed an issue. Your site says the package was delivered, but nothing was delivered to my address.",critical
notification,Wrong notification sent,"The order appears in my account, but I never received the confirmation email. I reproduced it twice this morning. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. Please treat this as urgent; I am completely blocked. Reference: order/account details can be provided if needed.",critical
checkout,Checkout won't complete,"This keeps happening and I'm running out of things to try. My shipping address is valid but the form keeps saying it cannot be verified. It worked normally yesterday. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I need this fixed today because I cannot continue. Reference: order/account details can be provided if needed.",high
